ID_REF,t_statistic,p_value,q_value,significant
1007_s_at,7.673697997113322,9.008540212473212e-12,1.0874176682261136e-10,True
1053_at,5.895597731946877,4.5826030601965834e-08,2.9093575556819006e-07,True
117_at,0.13397311902683665,0.8936802832223587,0.9298163959024989,False
121_at,0.4617573596928983,0.6452105881291724,0.743431797677354,False
1255_g_at,2.5724269867329665,0.011496592869253457,0.025755952777037565,True
1294_at,-8.182913827608564,6.941503692672142e-13,1.0043995245702164e-11,True
1316_at,0.21600961279519712,0.8293993339342859,0.8852991644978776,False
1320_at,-6.937941891907414,3.382137327294268e-10,3.1116501265110726e-09,True
1405_i_at,-2.2851710881362073,0.024312623012422308,0.04978022407294003,True
1431_at,0.43004919142672077,0.6680411869094871,0.762405212184589,False
1438_at,3.877884521817404,0.0001839798179203651,0.0006094280188374455,True
1487_at,2.677972445812525,0.008598082237589622,0.019895230166169217,True
1494_f_at,-0.38256609336091263,0.702814814779167,0.7905114591754167,False
1598_g_at,-13.254732177405966,3.7183579227257104e-24,2.866995487615813e-22,True
160020_at,6.930208515854917,3.511391421131593e-10,3.215961160586736e-09,True
1729_at,3.8674109236462444,0.00019102592634260765,0.0006314538965572358,True
1773_at,5.233597882115993,8.570419529738637e-07,4.326566796129725e-06,True
177_at,2.0775817331766553,0.04018729999115107,0.07725766592207912,False
179_at,-2.4990255799938494,0.01400290068566887,0.03063890769626467,True
1861_at,0.1894353032058646,0.8501173652807504,0.9008014203657417,False
200000_s_at,-3.5749048531000107,0.0005310608376989598,0.0016060842354025408,True
200001_at,-2.7910001453253903,0.0062429997833254765,0.014933486471418424,True
200002_at,2.3277841510661745,0.021841054504769336,0.04531510405305168,True
200003_s_at,2.61619296276411,0.010201903223455194,0.023154309383606853,True
200004_at,0.5308717829255295,0.5966287412734604,0.7022142497372329,False
200005_at,2.042482316131709,0.043609393961217935,0.08301991675675517,False
200006_at,6.97292082454191,2.8539296391560376e-10,2.660841596205606e-09,True
200007_at,-1.0272254529392975,0.3066749142388103,0.42153088893055424,False
200008_s_at,4.3920292440727655,2.6888748396623655e-05,0.00010364331093616413,True
200009_at,2.562794077674401,0.011800698184290784,0.026348192148351858,True
200010_at,-0.7370045324534376,0.4627632362829264,0.5802899940400928,False
200011_s_at,1.7161310783778816,0.08908706811827298,0.15314975612401457,False
200012_x_at,-5.76452796224547,8.2926517029589e-08,5.026799725164123e-07,True
200013_at,2.0888767062605607,0.03913637043333712,0.07546519058203972,False
200014_s_at,6.152739864804389,1.4070439404718371e-08,9.758219771408012e-08,True
200015_s_at,-1.7767589677249647,0.0785038644970293,0.13744807201911716,False
200016_x_at,-0.19081738551766456,0.849037133175522,0.9001377123679777,False
200017_at,1.4756120744234367,0.1430405718575956,0.2260868962053343,False
200018_at,0.7684128895753543,0.4439667483936105,0.5620096283924799,False
200019_s_at,0.6612991391472749,0.5098690051121083,0.624940101260347,False
200020_at,1.8003330854072828,0.07467926650461253,0.13186038791777185,False
200021_at,1.3445556164061232,0.18166623645003635,0.27584795549002794,False
200022_at,0.9470938013393186,0.3457655448207097,0.463212984649023,False
200023_s_at,-0.016383967231249345,0.9869591620360433,0.9911849201211985,False
200024_at,7.419862885809303,3.1842952668787146e-11,3.5143958113847646e-10,True
200025_s_at,3.316799322223055,0.0012513847419941464,0.0034980172383513608,True
200026_at,-1.7590757195736018,0.08147768755899602,0.14178581115791553,False
200027_at,1.929526169403533,0.056364411463602326,0.10343997534536736,False
200028_s_at,-5.059376621192404,1.797874597967539e-06,8.55843616033127e-06,True
200029_at,3.7838916913291603,0.00025716917913170883,0.0008279874033509417,True
200030_s_at,-0.5255724905376838,0.6002934505647447,0.7054659015312593,False
200031_s_at,0.9669909257220799,0.33577059383541163,0.45298638629499777,False
200032_s_at,0.5949660259874475,0.5531462192630546,0.6636710891819222,False
200033_at,-3.132282959275064,0.0022478322438372216,0.005964330303575233,True
200034_s_at,2.5855916167534305,0.011092402980891024,0.024969392425820254,True
200035_at,-0.8281969618191948,0.409437487335372,0.5281940329007175,False
200036_s_at,2.4971169048933177,0.014074147392046401,0.030764589595543453,True
200037_s_at,9.615952914791764,4.462705205228141e-16,1.0523011649534248e-14,True
200038_s_at,0.34330738522008913,0.732053653166719,0.8127728726215246,False
200039_s_at,9.976492608223388,6.921159857576775e-17,1.8693843043197972e-15,True
200040_at,2.3820928727907495,0.019014164680069546,0.04018710343981691,True
200041_s_at,1.799777178676661,0.07476764489762917,0.13197460640477432,False
200042_at,2.8051092063086003,0.005994607912605953,0.014405030531284209,True
200043_at,8.71895740306243,4.518949972468723e-14,7.897706842080044e-13,True
200044_at,6.261843602387986,8.470495442111677e-09,6.108351130633479e-08,True
200045_at,4.738161391597861,6.794448915179182e-06,2.890197663344818e-05,True
200046_at,4.754071704300078,6.368829425334925e-06,2.72079421174728e-05,True
200047_s_at,7.3443926034180675,4.624616375744933e-11,4.95196187893918e-10,True
200048_s_at,6.998915116758612,2.5151205987562106e-10,2.3804999830374962e-09,True
200049_at,2.1330604890720855,0.0352496707481542,0.06887053163359229,False
200050_at,7.8141293847058755,4.459426355845894e-12,5.642782367252359e-11,True
200051_at,1.4533840393654671,0.14909944394517366,0.23392120745126416,False
200052_s_at,9.954444036134213,7.757034870224599e-17,2.0800241638172654e-15,True
200053_at,-4.0797739299282085,8.802949113999874e-05,0.00030966570672749856,True
200054_at,4.950507365281663,2.836714818502303e-06,1.3022356057001816e-05,True
200055_at,6.097962822947608,1.8127747307644412e-08,1.2322775877249555e-07,True
200056_s_at,-0.6039402457719665,0.5471859952083475,0.658473053476676,False
200057_s_at,5.517651310041783,2.49099644576782e-07,1.3894086057833375e-06,True
200058_s_at,4.838391085242254,4.510993773443995e-06,1.9896768458759412e-05,True
200059_s_at,-4.903623022663061,3.4464642693089763e-06,1.5517794163065653e-05,True
200060_s_at,5.96239005093118,3.379410847733909e-08,2.192239066086017e-07,True
200061_s_at,0.7144320792432058,0.4765453439282302,0.5936303610662318,False
200062_s_at,2.165741406750761,0.03259411090310591,0.06433078593923021,False
200063_s_at,4.503474156377977,1.7384292644257204e-05,6.940945941443886e-05,True
200064_at,4.976893738704869,2.5411523661593486e-06,1.1782042899527418e-05,True
200065_s_at,4.297788511005859,3.8680153462647736e-05,0.00014461574825640596,True
200066_at,-4.102270055023542,8.096856920775234e-05,0.0002867486693668699,True
200067_x_at,-5.3516798623797,5.148527540680641e-07,2.7057697921930834e-06,True
200068_s_at,5.831841309273209,6.119844919342693e-08,3.8017425240511073e-07,True
200069_at,-1.751912540614815,0.08270843526496498,0.14360231128324877,False
200070_at,-4.079768580519669,8.80312383174131e-05,0.00030966570672749856,True
200071_at,1.5679767775836433,0.11989537803150635,0.1962701078956844,False
200072_s_at,-0.8112944544923312,0.4190318462103986,0.5374696618446464,False
200073_s_at,3.0339450141749733,0.0030424059575144273,0.007830206970581425,True
200074_s_at,-0.04796558628696033,0.9618347852017315,0.9749608569644809,False
200075_s_at,2.536907222502676,0.012654097774725726,0.02798722190711795,True
